Date,Symbol,Opening Stock,Closing Stock,Daily Return,Profit or Loss
2022-01-01,AAPL,141.71524094255795,195.816085464212,,
2022-01-02,AAPL,181.64544792938068,119.47607973197165,,
2022-01-03,AAPL,154.66321025719452,146.42414772847565,,
2022-01-04,AAPL,140.77196391925526,14.509552104725234,,
2022-01-05,AAPL,111.67715184133714,158.2325192982105,,
2022-01-06,AAPL,165.01458713599746,156.90297345338115,,
2022-01-07,AAPL,115.0209307030462,158.06415924994167,,
2022-01-08,AAPL,224.02552018769916,236.4995388435098,,
2022-01-09,AAPL,241.27906252024704,173.63687178483602,,
2022-01-10,AAPL,102.02596451818665,96.28189613770864,,
2022-01-11,AAPL,200.01400913983952,114.88766891184196,,
2022-01-12,AAPL,136.93478074069708,177.43148702254356,,
2022-01-13,AAPL,146.33069466254375,24.45411319102476,,
2022-01-14,AAPL,232.14319319023866,170.02401170696024,,
2022-01-15,AAPL,27.048653967492868,170.95308870835825,,
2022-01-16,AAPL,30.91103192836977,60.49181465772182,,
2022-01-17,AAPL,14.852415385678173,40.94231143716479,,
2022-01-18,AAPL,209.8287629315051,85.70280422180413,,
2022-01-19,AAPL,196.7576202279641,97.29058502622942,,
2022-01-20,AAPL,218.8029155792366,146.8472249002911,,
2022-01-21,AAPL,244.86840213586336,115.26436323095689,,
2022-01-22,AAPL,201.79805541201367,247.20972113421428,,
2022-01-23,AAPL,120.75504694070364,34.49075457952674,,
2022-01-24,AAPL,197.32700230874931,60.130421462760324,,
2022-01-25,AAPL,38.38586220854397,48.7142842923991,,
2022-01-26,AAPL,163.58104511860572,166.74599811169563,,
2022-01-27,AAPL,44.40478897817114,70.7899846095477,,
2022-01-28,AAPL,236.72054009190015,121.91458548551351,,
2022-01-29,AAPL,135.2435972200172,68.66214208038465,,
2022-01-30,AAPL,109.51886559772566,48.15270007492473,,
2022-01-31,AAPL,73.49334690511047,36.490033879433234,,
